Q/index	scie	ssci	ahci	esci	Method	Wos number	Doc type	Cited	Auth.#	p.Year	ea.Year	Year	Journal	issn	eissn	Title	Doi	Vol.	Issue	Page.S	Page.E	Artic.Nr	Ref.style	PMID	wosL	doiL	PMIDL	Authors	RID	OID	Addresses	Correspondence	
Q2	SCIE				quess	WOS:000880612200003	Article	0	6	2022		2022	INTERNATIONAL JOURNAL OF CLINICAL PRACTICE	1368-5031	1742-1241	Menstrual Changes after COVID-19 Infection and COVID-19 Vaccination	10.1155/2022/3199758	2022				3199758	Int. J. Clin. Pract. 2022;2022:3199758.	36349056	https://www.webofscience.com/wos/woscc/full-record/WOS:000880612200003	https://doi.org/10.1155/2022/3199758	https://pubmed.ncbi.nlm.nih.gov/36349056	Taskaldiran, I; Vuraloglu, E; Bozkus, Y; Iyidir, OT; Nar, A; Tutuncu, NB	Turhan Iyidir, Ozlem/K-7904-2019; Bascil Tutuncu, Neslihan/ABG-5027-2020	Turhan Iyidir, Ozlem/0000-0001-5305-6807; Bascil Tutuncu, Neslihan/0000-0002-1816-3903	[Taskaldiran, Isilay; Bozkus, Yusuf; Iyidir, Ozlem Turhan; Nar, Asli; Tutuncu, Neslihan Bascil] Baskent Univ, Fac Med, Dept Endocrinol & Metab, Ankara, Turkey; [Vuraloglu, Emre] Baskent Univ, Fac Med, Dept Family Med, Ankara, Turkey	Taskaldiran, I (corresponding author), Baskent Univ, Fac Med, Dept Endocrinol & Metab, Ankara, Turkey.
Q2	SCIE				quess	WOS:000854734900004	Article	0	2		2022	2022	NEURAL COMPUTING & APPLICATIONS	0941-0643	1433-3058	Object classification on noise-reduced and augmented micro-doppler radar spectrograms	10.1007/s00521-022-07776-3						Neural Comput. Appl. 		https://www.webofscience.com/wos/woscc/full-record/WOS:000854734900004	https://doi.org/10.1007/s00521-022-07776-3	https://pubmed.ncbi.nlm.nih.gov/	Erdogan, A; Guney, S			[Erdogan, Alperen] Baskent Univ, Inst Sci & Engn, TR-06790 Ankara, Turkey; [Guney, Selda] Baskent Univ, Dept Elect & Elect Engn, TR-06790 Ankara, Turkey	Erdogan, A (corresponding author), Baskent Univ, Inst Sci & Engn, TR-06790 Ankara, Turkey.
Q?				ESCI	quess	WOS:000831662800004	Article	0	1	2022		2022	CTAD-CUMHURIYET TARIHI ARASTIRMALARI DERGISI	1305-1458	2147-1592	The Blockade of the Dardanelles Strait and the Occupation of Bozcaada During the Tripoli and Balkan Wars, Through the Eyes of Telegrapher Ihsan (Pere) Bey		18	35	103	135		CTAD-Cumhur. Tarihi Arast. Derg. 2022;18(35):103-135.		https://www.webofscience.com/wos/woscc/full-record/WOS:000831662800004	https://doi.org/	https://pubmed.ncbi.nlm.nih.gov/	Ozcan, H			[Ozcan, Halil] Baskent Univ, Ataturk Ilkeleri Uygulama & Arastirma Merkezi, Ankara, Turkey	Ozcan, H (corresponding author), Baskent Univ, Ataturk Ilkeleri Uygulama & Arastirma Merkezi, Ankara, Turkey.
Q1	SCIE				final	WOS:000693706200206	Mtg.Ab.	0	4	2021		2021	TRANSPLANTATION	0041-1337	1534-6080	Can we prevent bleeding or seeding after biopsy for HCC in cirrhotic liver patient?		105	8	126	126		Transplantation 2021;105(8):126-126.		https://www.webofscience.com/wos/woscc/full-record/WOS:000693706200206	https://doi.org/	https://pubmed.ncbi.nlm.nih.gov/	Boyvat, F; Ozen, O; Soy, EHA; Haberal, M	SOY, EBRU H. AYVAZOGLU/AAC-5566-2019; Haberal, Mehmet/AAJ-8097-2021; boyvat, fatih/F-4230-2011	SOY, EBRU H. AYVAZOGLU/0000-0002-0993-9917; Haberal, Mehmet/0000-0002-3462-7632; 	[Boyvat, F.; Ozen, O.] Baskent Univ, Radiol, Ankara, Turkey; [Soy, Ayvazoglu E. H.; Haberal, M.] Baskent Univ, Transplantat, Ankara, Turkey	
Q?				ESCI	final	WOS:000648668200002	Article	2	4	2021		2021	MEANDROS MEDICAL AND DENTAL JOURNAL	2149-9063		Evaluating Well-being Among Dental Students Using the Warwick-Edinburgh Mental Well-being Scale and the Relationship Between Mental Well-being and Socio-demographic Findings	10.4274/meandros.galenos.2021.69783	22	2	125	133		Meand. Med. Dent. J. 2021;22(2):125-133.		https://www.webofscience.com/wos/woscc/full-record/WOS:000648668200002	https://doi.org/10.4274/meandros.galenos.2021.69783	https://pubmed.ncbi.nlm.nih.gov/	Cetin, MB; Sezgin, Y; Akinci, S; Alptekin, NO	Alptekin, Nilgun Ozlem/G-1816-2014	Alptekin, Nilgun Ozlem/0000-0003-4104-6462	[Cetin, Mehtap Bilgin; Sezgin, Yasemin; Akinci, Seray; Alptekin, Nilgun Ozlem] Baskent Univ, Dept Periodontol, Fac Dent, Ankara, Turkey	Cetin, MB (corresponding author), Baskent Univ, Dept Periodontol, Fac Dent, Ankara, Turkey.
Q1	SCIE				final	WOS:000663384000001	Article	1	2	2021	2021	2021	APPLIED SOFT COMPUTING	1568-4946	1872-9681	Voice pathology detection by using the deep network architecture	10.1016/j.asoc.2021.107310	106				107310	Appl. Soft. Comput. 2021;106:107310.		https://www.webofscience.com/wos/woscc/full-record/WOS:000663384000001	https://doi.org/10.1016/j.asoc.2021.107310	https://pubmed.ncbi.nlm.nih.gov/	Ankishan, H; Inam, SC		Ankishan, Haydar/0000-0002-6240-2545	[Ankishan, Haydar] Baskent Univ, Vocat Sch Tech Sci, Ankara, Turkey; [Inam, Sitki Cagdas] Baskent Univ, Elect & Elect Engn, Ankara, Turkey	Ankishan, H (corresponding author), Baskent Univ, Vocat Sch Tech Sci, Ankara, Turkey.
Q1	SCIE				final	WOS:000637766100007	Editor.	2	2	2021	2021	2021	ANNALS OF THORACIC SURGERY	0003-4975	1552-6259	Alternate Approach to Hypoplastic Left Heart Syndrome Stage 1 Surgery	10.1016/j.athoracsur.2020.06.049	111	3	e173	e175		Ann. Thorac. Surg. 2021;111(3):e173-e175.	32841624	https://www.webofscience.com/wos/woscc/full-record/WOS:000637766100007	https://doi.org/10.1016/j.athoracsur.2020.06.049	https://pubmed.ncbi.nlm.nih.gov/32841624	Celik, M; Ozkan, M	Çelik, Mehmet/AAT-2031-2021	Çelik, Mehmet/0000-0002-5018-0068	[Celik, Mehmet; Ozkan, Murat] Baskent Univ, Dept Cardiovasc Surg, Konya, Turkey	Celik, M (corresponding author), Baskent Univ, Konya Practice & Res Ctr, Hocacihan Mh Saray Cd 1 Selcuklu, TR-42080 Konya, Turkey.
Q4	SCIE				final	WOS:000669515800018	Article	1	2	2021		2021	ALLERGOLOGIA ET IMMUNOPATHOLOGIA	0301-0546	1578-1267	The effects of maternal anxiety and attitudes on the adherence to inhaled corticosteroids in children with asthma	10.15586/aei.v49i3.196	49	3	138	145		Allergol. Immunopath. 2021;49(3):138-145.	33938199	https://www.webofscience.com/wos/woscc/full-record/WOS:000669515800018	https://doi.org/10.15586/aei.v49i3.196	https://pubmed.ncbi.nlm.nih.gov/33938199	Sancakli, O; Aslan, AA			[Sancakli, Ozlem] Baskent Univ, Dept Pediat Allergy, Izmir, Turkey; [Aslan, Asli Akin] Baskent Univ, Dept Psychiat, Izmir, Turkey	Sancakli, O (corresponding author), Baskent Univ, Dept Pediat Allergy, Izmir, Turkey.
Q3	SCIE				final	WOS:000708987200020	Article	2	4	2021		2021	REVISTA DA ASSOCIACAO MEDICA BRASILEIRA		1806-9282	Survival outcome of pulmonary metastasectomy among the patients with colorectal cancers	10.1590/1806-9282.20210472	67	7	1015	1020		Rev. Assoc. Med. Bras. 2021;67(7):1015-1020.	34817516	https://www.webofscience.com/wos/woscc/full-record/WOS:000708987200020	https://doi.org/10.1590/1806-9282.20210472	https://pubmed.ncbi.nlm.nih.gov/34817516	Yildizi, O; Daez, SA; Findikcioglu, A; Kos, F	kose, fatih/G-4827-2016; FINDIKCIOGLU, Alper/AFT-2303-2022	kose, fatih/0000-0002-0156-5973; yildiz, oya/0000-0002-1051-3470; DAE, shute Ailia/0000-0002-3532-8394	[Yildizi, Oya; Findikcioglu, Alper] Baskent Univ, Dept Thorac Surg, Fac Med, Ankara, Turkey; [Daez, Shute Ailia; Kos, Fatih] Baskent Univ, Dept Internal Med, Fac Med, Div Med Oncol, Ankara, Turkey	Yildizi, O (corresponding author), Baskent Univ, Dept Thorac Surg, Fac Med, Ankara, Turkey.
Q4	SCIE				quess	WOS:000590088100001	Article	2	3	2022	2020	2022	INTERNATIONAL JOURNAL OF NEUROSCIENCE	0020-7454	1563-5279	Bilateral peroneal nerve palsy secondary to prolonged sitting in an adolescent patient	10.1080/00207454.2020.1849188	132	9	885	887		Int. J. Neurosci. 2022;132(9):885-887.	33175582	https://www.webofscience.com/wos/woscc/full-record/WOS:000590088100001	https://doi.org/10.1080/00207454.2020.1849188	https://pubmed.ncbi.nlm.nih.gov/33175582	Guzel, S; Ozen, S; Cosar, SN	Güzel, Şükran/AAG-3148-2021; ozen, selin/ABC-1305-2020; Cosar, Sacide Nur Saracgil/AAF-1085-2021	Güzel, Şükran/0000-0001-9852-0917; ozen, selin/0000-0002-7290-8558; Cosar, Sacide Nur Saracgil/0000-0001-8306-463X	[Guzel, Sukran; Ozen, Selin; Cosar, Sacide Nur] Baskent Univ, Fac Med, Phys Med & Rehabil Clin, Ankara, Turkey	Guzel, S (corresponding author), Baskent Univ, Fac Med, Phys Med & Rehabil Clin, Ankara, Turkey.
